Unnamed: 0,folds,test_auc,test_acc,model,cohort
0,0,0.867335562987737,0.8609271523178808,IMS1,Carolina
1,1,0.7491638795986623,0.913907284768212,IMS1,Carolina
2,2,0.887402452619844,0.8940397350993378,IMS1,Carolina
0,0,0.6911764705882353,0.7619047619047619,IMS1,Fondaz
1,1,0.7352941176470589,0.7142857142857143,IMS1,Fondaz
2,2,0.8235294117647058,0.7142857142857143,IMS1,Fondaz
0,0,0.8826923076923077,0.904109589041096,IMS1,Georgia
1,1,0.648076923076923,0.8767123287671232,IMS1,Georgia
2,2,0.8423076923076923,0.9178082191780822,IMS1,Georgia
0,0,0.875,0.9090909090909092,IMS1,Milan_Fondaz
1,1,0.84375,0.9696969696969696,IMS1,Milan_Fondaz
2,2,0.96875,0.9393939393939394,IMS1,Milan_Fondaz
0,0,0.8724489795918366,0.6666666666666667,IMS1,Minnesota
1,1,0.8903061224489797,0.6507936507936508,IMS1,Minnesota
2,2,0.8775510204081632,0.6666666666666667,IMS1,Minnesota
0,0,0.6588145896656534,0.6310679611650485,IMS1,Ohio
1,1,0.5007598784194529,0.5145631067961165,IMS1,Ohio
2,2,0.5600303951367782,0.5533980582524272,IMS1,Ohio
0,0,0.81,0.88,IMS1,UNSW
1,1,0.8500000000000001,0.84,IMS1,UNSW
2,2,0.81,0.84,IMS1,UNSW
0,0,0.8727770177838577,0.7666666666666666,IMS1,Utah
1,1,0.896032831737346,0.85,IMS1,Utah
2,2,0.8905608755129958,0.7833333333333333,IMS1,Utah
0,0,0.6524526198439242,0.3245033112582781,IMS2,Carolina
1,1,0.7452619843924192,0.8211920529801324,IMS2,Carolina
2,2,0.7282608695652174,0.5298013245033113,IMS2,Carolina
0,0,0.5882352941176471,0.8095238095238095,IMS2,Fondaz
1,1,0.4411764705882353,0.4761904761904761,IMS2,Fondaz
2,2,0.6764705882352942,0.8095238095238095,IMS2,Fondaz
0,0,0.6028846153846155,0.410958904109589,IMS2,Georgia
1,1,0.6326923076923077,0.7808219178082192,IMS2,Georgia
2,2,0.6173076923076923,0.6164383561643836,IMS2,Georgia
0,0,0.21875,0.2121212121212121,IMS2,Milan_Fondaz
1,1,0.8125,0.9090909090909092,IMS2,Milan_Fondaz
2,2,0.4375,0.4242424242424242,IMS2,Milan_Fondaz
0,0,0.5051020408163266,0.8412698412698413,IMS2,Minnesota
1,1,0.8647959183673469,0.7142857142857143,IMS2,Minnesota
2,2,0.8035714285714286,0.7777777777777778,IMS2,Minnesota
0,0,0.5155775075987843,0.5728155339805825,IMS2,Ohio
1,1,0.6576747720364742,0.6213592233009708,IMS2,Ohio
2,2,0.6413373860182371,0.5922330097087378,IMS2,Ohio
0,0,0.86,0.84,IMS2,UNSW
1,1,0.75,0.76,IMS2,UNSW
2,2,0.7399999999999999,0.88,IMS2,UNSW
0,0,0.188782489740082,0.7166666666666667,IMS2,Utah
1,1,0.3337893296853625,0.6333333333333333,IMS2,Utah
2,2,0.4076607387140902,0.6,IMS2,Utah
